,date,high,low,open,volume,adj close,ma5,ma10,ma30,macd,ema,year,month,date_1,day,close,Name
0,2016-06-01,28.299999237060547,27.799999237060547,27.799999237060547,246000.0,23.434715270996094,,,,0.0,28.25,2016,6,1,2,28.25,台表科(6278)
1,2016-06-02,28.399999618530273,28.0,28.399999618530273,193000.0,23.227327346801758,,,,-0.005608974358970897,28.0625,2016,6,2,3,28.0,台表科(6278)
2,2016-06-03,28.149999618530273,27.799999237060547,28.0,114000.0,23.2688045501709,,,,-0.005596473291454629,28.053845625657303,2016,6,3,4,28.049999237060547,台表科(6278)
3,2016-06-06,28.049999237060547,27.75,27.950000762939453,80000.0,23.14437484741211,,,,-0.010869311304315232,27.94999957084656,2016,6,6,0,27.899999618530273,台表科(6278)
4,2016-06-07,28.200000762939453,27.850000381469727,27.899999618530273,333000.0,23.2688045501709,28.049999618530272,,,-0.007536836214359965,28.016941496163366,2016,6,7,1,28.049999237060547,台表科(6278)
5,2016-06-08,28.350000381469727,27.799999237060547,28.149999618530273,190000.0,23.14437484741211,27.979999542236328,,,-0.011805970799407817,27.93887315477644,2016,6,8,2,27.899999618530273,台表科(6278)
6,2016-06-13,28.0,27.399999618530273,27.850000381469727,287000.0,22.854034423828125,27.889999389648438,,,-0.030196061737356672,27.679505281020827,2016,6,13,0,27.549999237060547,台表科(6278)
7,2016-06-14,27.850000381469727,27.5,27.5,143000.0,23.061418533325195,27.839999389648437,,,-0.030151717585319204,27.759846830368048,2016,6,14,1,27.799999237060547,台表科(6278)
8,2016-06-15,27.899999618530273,27.600000381469727,27.799999237060547,109000.0,22.978464126586914,27.799999618530272,,,-0.03462352714665684,27.719947424982518,2016,6,15,2,27.700000762939453,台表科(6278)
9,2016-06-16,27.75,27.450000762939453,27.75,109000.0,22.936986923217773,27.719999694824217,27.884999656677245,,-0.039867502001669664,27.67331476428615,2016,6,16,3,27.649999618530273,台表科(6278)
10,2016-06-17,27.899999618530273,27.5,27.899999618530273,176000.0,22.81255531311035,27.639999771118163,27.809999656677245,,-0.051089087879255146,27.557770935847092,2016,6,17,4,27.5,台表科(6278)
11,2016-06-20,27.899999618530273,27.549999237060547,27.899999618530273,211000.0,22.895509719848633,27.65,27.769999694824218,,-0.05312801840702264,27.585923952570386,2016,6,20,0,27.600000381469727,台表科(6278)
12,2016-06-21,27.899999618530273,27.700000762939453,27.899999618530273,239000.0,23.14437484741211,27.670000076293945,27.754999732971193,,-0.03698897168847992,27.7953078612079,2016,6,21,1,27.899999618530273,台表科(6278)
13,2016-06-22,28.100000381469727,27.799999237060547,27.899999618530273,301000.0,23.14437484741211,27.70999984741211,27.754999732971193,,-0.02442827066873221,27.86510238068178,2016,6,22,2,27.899999618530273,台表科(6278)
14,2016-06-23,28.049999237060547,27.799999237060547,27.799999237060547,229000.0,23.185850143432617,27.770000076293947,27.744999885559082,,-0.011676784664214068,27.921701306131375,2016,6,23,3,27.950000762939453,台表科(6278)
15,2016-06-24,28.0,27.049999237060547,28.0,439000.0,22.72960090637207,27.75,27.69499988555908,,-0.03521165911483237,27.573900172984352,2016,6,24,4,27.399999618530273,台表科(6278)
16,2016-06-27,27.5,27.200000762939453,27.200000762939453,206000.0,22.72960090637207,27.70999984741211,27.679999923706056,,-0.05272330783694201,27.45796646911723,2016,6,27,0,27.399999618530273,台表科(6278)
17,2016-06-28,27.5,27.149999618530273,27.399999618530273,49000.0,22.72960090637207,27.60999984741211,27.63999996185303,,-0.06548715698736629,27.41932190195951,2016,6,28,1,27.399999618530273,台表科(6278)
18,2016-06-29,27.700000762939453,27.399999618530273,27.600000381469727,379000.0,22.854034423828125,27.539999771118165,27.624999809265137,,-0.06487746484267731,27.506440125435155,2016,6,29,2,27.549999237060547,台表科(6278)
19,2016-06-30,27.700000762939453,27.5,27.649999618530273,324000.0,22.854034423828125,27.45999946594238,27.614999771118164,,-0.06362465335977419,27.535479533193744,2016,6,30,3,27.549999237060547,台表科(6278)
20,2016-07-01,27.850000381469727,27.600000381469727,27.600000381469727,748000.0,22.978464126586914,27.519999694824218,27.63499984741211,,-0.0519701354495794,27.645160353034704,2016,7,1,4,27.700000762939453,台表科(6278)
21,2016-07-04,26.450000762939453,26.049999237060547,26.399999618530273,772000.0,23.06616973876953,27.299999618530272,27.504999732971193,,-0.1362347358139928,26.74838627569002,2016,7,4,0,26.299999237060547,台表科(6278)
22,2016-07-05,26.299999237060547,26.100000381469727,26.299999237060547,356000.0,22.978466033935547,27.059999847412108,27.33499984741211,,-0.20676452723711236,26.382795933852424,2016,7,5,1,26.200000762939453,台表科(6278)
23,2016-07-06,26.049999237060547,25.600000381469727,26.049999237060547,671000.0,22.452239990234375,26.670000076293945,27.104999923706053,,-0.3003511380158095,25.86093223226211,2016,7,6,2,25.600000381469727,台表科(6278)
24,2016-07-07,25.850000381469727,25.600000381469727,25.600000381469727,221000.0,22.452239990234375,26.280000305175783,26.869999885559082,,-0.3695958487324589,25.686977665066976,2016,7,7,3,25.600000381469727,台表科(6278)
25,2016-07-08,25.600000381469727,25.600000381469727,25.600000381469727,0.0,22.452239990234375,25.860000228881837,26.689999961853026,,-0.4191679789538547,25.628992809335454,2016,7,8,4,25.600000381469727,台表科(6278)
26,2016-07-11,26.100000381469727,25.799999237060547,25.850000381469727,495000.0,22.84691047668457,25.810000228881837,26.554999923706056,,-0.42099675032645223,25.909663761152224,2016,7,11,0,26.049999237060547,台表科(6278)
27,2016-07-12,26.200000762939453,25.950000762939453,26.100000381469727,334000.0,22.978466033935547,25.810000228881837,26.435000038146974,,-0.40678999312656217,26.103221762343722,2016,7,12,1,26.200000762939453,台表科(6278)
28,2016-07-13,26.25,26.049999237060547,26.200000762939453,174000.0,22.978466033935547,25.93000030517578,26.300000190734863,,-0.39097472172419145,26.16774109607421,2016,7,13,2,26.200000762939453,台表科(6278)
29,2016-07-14,26.350000381469727,26.100000381469727,26.350000381469727,231000.0,22.934612274169922,26.04000015258789,26.160000228881835,27.219999885559083,-0.37772212823642803,26.15591344437825,2016,7,14,3,26.149999618530273,台表科(6278)
30,2016-07-15,26.600000381469727,26.200000762939453,26.299999237060547,560000.0,23.241575241088867,26.220000076293946,26.04000015258789,27.16166655222575,-0.33739707408540554,26.385304481459414,2016,7,15,4,26.5,台表科(6278)
31,2016-07-18,27.149999618530273,26.5,26.549999237060547,774000.0,23.723949432373047,26.420000076293945,26.11500015258789,27.129999860127768,-0.26150064438065357,26.828434318526835,2016,7,18,0,27.049999237060547,台表科(6278)
32,2016-07-19,27.350000381469727,26.899999618530273,27.200000762939453,495000.0,23.680097579956055,26.579999923706055,26.195000076293944,27.094999885559083,-0.20286045884429527,26.942811439508947,2016,7,19,1,27.0,台表科(6278)
33,2016-07-20,27.200000762939453,26.700000762939453,27.149999618530273,417000.0,23.59239387512207,26.719999694824217,26.325,27.06166655222575,-0.16211840043005665,26.914270225523165,2016,7,20,2,26.899999618530273,台表科(6278)
34,2016-07-21,27.25,26.649999618530273,26.899999618530273,544000.0,23.723949432373047,26.899999618530273,26.469999885559083,27.028333218892417,-0.11716106261814119,27.004756233214753,2016,7,21,3,27.049999237060547,台表科(6278)
35,2016-07-22,27.100000381469727,26.850000381469727,27.100000381469727,265000.0,23.636247634887695,26.989999771118164,26.604999923706053,26.996666590372723,-0.0881654316677043,26.968252586364553,2016,7,22,4,26.950000762939453,台表科(6278)
36,2016-07-25,27.200000762939453,26.75,26.950000762939453,344000.0,23.680097579956055,26.979999923706053,26.7,26.978333282470704,-0.060689374422896236,26.989417528788184,2016,7,25,0,27.0,台表科(6278)
37,2016-07-26,27.0,26.799999237060547,27.0,193000.0,23.59239387512207,26.95999984741211,26.76999988555908,26.948333295186362,-0.046075711785196205,26.929805588616244,2016,7,26,1,26.899999618530273,台表科(6278)
